year,subject,grade,percentile,scale_score
2018,math,3,10,2322
2018,math,3,20,2359
2018,math,3,30,2387
2018,math,3,40,2411
2018,math,3,50,2433
2018,math,3,60,2455
2018,math,3,70,2477
2018,math,3,80,2504
2018,math,3,90,2540
2018,math,3,99,2621
2019,math,3,1,2232
2019,math,3,10,2324
2019,math,3,20,2362
2019,math,3,30,2389
2019,math,3,40,2413
2019,math,3,50,2436
2019,math,3,60,2458
2019,math,3,70,2481
2019,math,3,80,2508
2019,math,3,90,2544
2019,math,3,99,2621
2022,math,3,1,2190
2022,math,3,10,2294
2022,math,3,20,2337
2022,math,3,30,2368
2022,math,3,40,2395
2022,math,3,50,2420
2022,math,3,60,2444
2022,math,3,70,2469
2022,math,3,80,2498
2022,math,3,90,2537
2022,math,3,99,2636
2023,math,3,1,2190
2023,math,3,10,2298
2023,math,3,20,2341
2023,math,3,30,2372
2023,math,3,40,2399
2023,math,3,50,2424
2023,math,3,60,2448
2023,math,3,70,2473
2023,math,3,80,2502
2023,math,3,90,2540
2023,math,3,99,2641
2024,math,3,1,2190
2024,math,3,10,2300
2024,math,3,20,2343
2024,math,3,30,2374
2024,math,3,40,2401
2024,math,3,50,2425
2024,math,3,60,2449
2024,math,3,70,2474
2024,math,3,80,2503
2024,math,3,90,2542
2024,math,3,99,2644
2025,math,3,1,2190
2025,math,3,10,2302
2025,math,3,20,2344
2025,math,3,30,2375
2025,math,3,40,2402
2025,math,3,50,2427
2025,math,3,60,2451
2025,math,3,70,2476
2025,math,3,80,2505
2025,math,3,90,2545
2025,math,3,99,2651
2015,math,4,1,2268
2015,math,4,10,2353
2015,math,4,20,2385
2015,math,4,30,2409
2015,math,4,40,2431
2015,math,4,50,2451
2015,math,4,60,2473
2015,math,4,70,2495
2015,math,4,80,2523
2015,math,4,90,2561
2015,math,4,99,2648
2016,math,4,1,2273
2016,math,4,10,2355
2016,math,4,20,2389
2016,math,4,30,2414
2016,math,4,40,2437
2016,math,4,50,2458
2016,math,4,60,2481
2016,math,4,70,2504
2016,math,4,80,2532
2016,math,4,90,2571
2016,math,4,99,2659
2017,math,4,1,2257
2017,math,4,10,2353
2017,math,4,20,2388
2017,math,4,30,2416
2017,math,4,40,2440
2017,math,4,50,2463
2017,math,4,60,2485
2017,math,4,70,2510
2017,math,4,80,2538
2017,math,4,90,2576
2017,math,4,99,2659
2018,math,4,1,2258
2018,math,4,10,2357
2018,math,4,20,2393
2018,math,4,30,2420
